num_vehicles,num_constructions,seed,n_arrived,n_total,arrival_rate,mean_travel_time,median_travel_time,stdev_travel_time,mean_avg_speed,median_avg_speed,stdev_avg_speed,mean_num_replans,max_num_replans,pct_vehicles_rerouted,mean_detour_ratio,vehicles_with_detours
10,0,0,10,10,1.0,78.1,71.0,48.56255988127296,13.620918749756065,13.719021305583711,0.26337236984976253,0,0,0.0,1.0000000000008,0
10,0,1,10,10,1.0,91.0,90.5,57.3275190850297,13.70318923516585,13.772492518715964,0.17545643342712455,0,0,0.0,1.0000000000004645,0
10,0,2,10,10,1.0,75.2,66.0,57.70191600901231,13.5717797171826,13.690423827087347,0.3104193596970256,0,0,0.0,0.9999999999998802,0
10,5,0,10,10,1.0,80.1,71.0,49.898675110445346,13.618738006301085,13.712489687303316,0.2563337743839573,0,0,0.0,1.0327644310330608,1
10,5,1,10,10,1.0,93.3,94.0,59.99268473924319,13.684403739259054,13.74153085915301,0.16103871013827947,0,0,0.0,1.0152005037765113,0
10,5,2,10,10,1.0,76.3,67.0,58.94262747225758,13.586626596302215,13.709120605503099,0.30351484371687093,0,0,0.0,1.0098479296226808,0
10,10,0,10,10,1.0,81.8,71.0,52.85157413823063,13.623685720668256,13.719021305611765,0.2586981209180177,0,0,0.0,1.045277287276321,1
10,10,1,10,10,1.0,93.5,94.0,60.11701552435513,13.694995672150235,13.765756266793126,0.16822949112714808,0,0,0.0,1.0175698685238468,0
10,10,2,10,10,1.0,76.6,67.5,59.153660542316025,13.569001355165874,13.709120605502928,0.3075421793281444,0,0,0.0,1.012240600189994,0
10,20,0,10,10,1.0,83.5,71.0,50.79424726832317,13.650423825482877,13.741376083839853,0.24617106334535804,0,0,0.0,1.1081340828506974,2
10,20,1,10,10,1.0,94.1,95.5,60.17465320954404,13.68817127094715,13.745193952463936,0.16556181807700987,0,0,0.0,1.023336616513675,0
10,20,2,10,10,1.0,83.1,74.0,58.818836740924716,13.467676161935987,13.731005052777,0.4208601517644969,0,0,0.0,1.1485316298886303,4
10,40,0,10,10,1.0,88.9,88.0,51.50070118185016,13.581965787132152,13.647354305812039,0.2649374390749176,0,0,0.0,1.17495953334479,4
10,40,1,10,10,1.0,109.3,112.0,54.75206743940259,13.5846266296133,13.612966326276489,0.23842178010208787,0,0,0.0,1.3422014040173977,4
10,40,2,10,10,1.0,88.5,76.5,63.946592299094924,13.39601838926985,13.459855109941046,0.4146450828916985,0,0,0.0,1.2060301984825674,6
50,0,0,50,50,1.0,97.58,99.0,46.95985693403789,13.612906449953003,13.711248212094072,0.23015638932576646,0,0,0.0,1.0000000000002207,0
50,0,1,50,50,1.0,88.38,95.5,45.86888590185673,13.607872937288743,13.689301072009858,0.23576985394132682,0,0,0.0,0.9999999999998245,0
50,0,2,50,50,1.0,75.38,80.5,41.922128976939895,13.584391545111727,13.709269506439615,0.3549807474258969,0,0,0.0,0.9999999999999899,0
50,5,0,50,50,1.0,97.58,99.0,46.98635928845385,13.61395515963006,13.705753177136357,0.22557883338525087,0,0,0.0,1.000000000000059,0
50,5,1,50,50,1.0,88.74,95.5,46.104499758257695,13.611140788230458,13.687343448879204,0.2295657695428921,0,0,0.0,1.003703131868844,1
50,5,2,50,50,1.0,75.82,80.5,42.09837361733218,13.584314157041861,13.697674457553433,0.3414235723546898,0,0,0.0,1.0048098668828278,0
50,10,0,50,50,1.0,97.84,99.0,46.302184018661144,13.611481984341024,13.713437418404947,0.24140711565888612,0,0,0.0,1.0121301175679698,1
50,10,1,50,50,1.0,89.6,95.5,46.43230754198492,13.61609328045671,13.707521455889957,0.240358464545812,0,0,0.0,1.0132080622826014,2
50,10,2,50,50,1.0,75.9,80.5,42.14951521255092,13.534253273335475,13.727024452344082,0.7107023243974587,0,0,0.0,1.0058207120598819,0
50,20,0,50,50,1.0,98.16,99.5,47.2498180538555,13.634044498797083,13.701525406096561,0.2099561282023717,0,0,0.0,1.006869790704896,0
50,20,1,50,50,1.0,90.16,98.5,46.82331531558671,13.629163452878885,13.716825588596876,0.21229732499879286,0,0,0.0,1.0191187940385706,2
50,20,2,50,50,1.0,79.34,82.5,45.12233258553001,13.571526690075887,13.696980734388976,0.35958574107515906,0,0,0.0,1.0447438977806356,6
50,40,0,50,50,1.0,104.44,102.0,51.36629562787852,13.612939535754641,13.665974247905087,0.1939385709387849,0,0,0.0,1.065613489890944,10
50,40,1,50,50,1.0,93.16,105.5,48.75359118117582,13.608114712278052,13.687343448853408,0.270171169790712,0,0,0.0,1.048705004764562,5
50,40,2,50,50,1.0,83.46,82.5,48.01071734094208,13.471000787932299,13.65009085987694,0.714243221276489,0,0,0.0,1.0998265732857757,11
100,0,0,100,100,1.0,93.17,95.0,48.01326731627247,13.394503199161667,13.563292011889228,0.734359166713238,0,0,0.0,0.999999999999941,0
