u,v,key,osmid,highway,lanes,maxspeed,oneway,reversed,length,geometry,ref,tunnel,bridge,name,width,junction,access
16966540,34944313,0,"[1081720009, 1081720010, 5106293]",residential,,50,True,False,99.41621567343233,"LINESTRING (11.9350896 57.6944145, 11.9349602 57.694394, 11.9348149 57.6943746, 11.9343332 57.6943104, 11.9342251 57.694296, 11.9340671 57.6942749, 11.933693 57.694225, 11.933468 57.694195)",,,,Oljekvarnsgatan,6,,
16966540,30156705,0,297719477,tertiary,,50,False,False,77.8343248941327,"LINESTRING (11.9350896 57.6944145, 11.9354281 57.6940965, 11.9356079 57.693922, 11.9356808 57.693866, 11.9357115 57.6938459, 11.9357633 57.693816)",,,,Djurgårdsgatan,,,
16966540,34944395,0,"[198690152, 23025866, 1081720011, 1081720012]",residential,2,50,False,"[False, True]",326.4168336364597,"LINESTRING (11.9350896 57.6944145, 11.9352117 57.6944284, 11.9353345 57.6944416, 11.9357842 57.6944979, 11.9358803 57.6945116, 11.9360032 57.6945312, 11.9361311 57.6945505, 11.9361506 57.6945537, 11.9356786 57.6958369, 11.935319 57.6968627)",,,,"['Oljekvarnsgatan', 'Bangatan']",,,
16966540,34944347,0,"[1288725346, 1273822431]",tertiary,,50,False,True,134.35583089781534,"LINESTRING (11.9350896 57.6944145, 11.9349693 57.694528, 11.9345547 57.6949192, 11.9340648 57.6953405, 11.9339404 57.6954548)",,,,Djurgårdsgatan,,,
16966561,34944405,0,191095223,tertiary,,50,False,False,77.77340711645937,"LINESTRING (11.9303081 57.6987355, 11.930347 57.6987043, 11.930396 57.6986642, 11.9306669 57.6984004, 11.9307849 57.6982887, 11.9309332 57.6981484, 11.9309546 57.6981276)",,,,Djurgårdsgatan,,,
16966561,190473519,0,"[1292623176, 1292623177, 1368619592, 191095244]",trunk_link,1,70,True,False,252.282402131318,"LINESTRING (11.9303081 57.6987355, 11.9305209 57.698846, 11.9308202 57.6990209, 11.931132 57.6991632, 11.9315822 57.6993428, 11.9319583 57.6994801, 11.9322702 57.6995683, 11.9327513 57.6996828, 11.9328902 57.6997118, 11.9332012 57.6997638, 11.9334382 57.6997874, 11.9336704 57.6998033, 11.9338957 57.6998594)",,,,,,,
16966561,7644360563,0,"[818566610, 818566611, 818566612]",tertiary,2,50,True,False,56.301074593645794,"LINESTRING (11.9303081 57.6987355, 11.9302447 57.6988156, 11.9297821 57.6991021, 11.9297329 57.6991335)",,,yes,"['Fiskhamnsmotet', 'Djurgårdsgatan']",,,
16966790,16966561,0,"[5053026, 5053027, 282608839]",tertiary,2,50,True,False,58.163822720032634,"LINESTRING (11.9296079 57.6990861, 11.9296648 57.6990472, 11.9301386 57.6987666, 11.9303081 57.6987355)",,,yes,"['Djurgårdsgatan', 'Fiskhamnsmotet']",,,
16966790,190497809,0,191095240,trunk_link,1,50,True,False,23.19055472198943,"LINESTRING (11.9296079 57.6990861, 11.9295243 57.6990513, 11.9293047 57.6989548)",,,yes,,,,
25581709,1021142979,0,35317721,unclassified,,,True,False,45.73081476740181,"LINESTRING (11.9718234 57.7070116, 11.9718573 57.7070149, 11.9718967 57.7070209, 11.9724754 57.7071154, 11.9725603 57.7071301)",,,,Södra Hamngatan,,,
