num_vehicles,num_constructions,seed,n_arrived,n_total,arrival_rate,mean_travel_time,median_travel_time,stdev_travel_time,mean_avg_speed,median_avg_speed,stdev_avg_speed,mean_num_replans,max_num_replans,pct_vehicles_rerouted,mean_detour_ratio,vehicles_with_detours
10,0,0,10,10,1.0,78.1,71.0,48.56255988127296,13.620918749756065,13.719021305583711,0.26337236984976253,0,0,0.0,1.0000000000008,0
10,0,1,10,10,1.0,91.0,90.5,57.3275190850297,13.70318923516585,13.772492518715964,0.17545643342712455,0,0,0.0,1.0000000000004645,0
10,0,2,10,10,1.0,75.2,66.0,57.70191600901231,13.5717797171826,13.690423827087347,0.3104193596970256,0,0,0.0,0.9999999999998802,0
10,5,0,10,10,1.0,82.4,71.0,48.0860340085005,13.643350835487304,13.712489687303316,0.24535141697029753,0,0,0.0,1.1015208757767814,2
10,5,1,10,10,1.0,93.3,94.0,59.99268473924319,13.684403739259054,13.74153085915301,0.16103871013827947,0,0,0.0,1.0152005037765113,0
10,5,2,10,10,1.0,76.3,67.0,58.94262747225758,13.586626596302215,13.709120605503099,0.30351484371687093,0,0,0.0,1.0098479296226808,0
10,10,0,10,10,1.0,84.1,71.0,51.05868083772718,13.64829854985116,13.719021305611765,0.24727396866161955,0,0,0.0,1.114033732019609,2
10,10,1,10,10,1.0,93.5,94.0,60.11701552435513,13.694995672150235,13.765756266793126,0.16822949112714808,0,0,0.0,1.0175698685238468,0
10,10,2,10,10,1.0,76.6,67.5,59.153660542316025,13.569001355165874,13.709120605502928,0.3075421793281444,0,0,0.0,1.012240600189994,0
50,0,0,50,50,1.0,97.58,99.0,46.95985693403789,13.612906449953003,13.711248212094072,0.23015638932576646,0,0,0.0,1.0000000000002207,0
50,0,1,50,50,1.0,88.38,95.5,45.86888590185673,13.607872937288743,13.689301072009858,0.23576985394132682,0,0,0.0,0.9999999999998245,0
50,0,2,50,50,1.0,75.38,80.5,41.922128976939895,13.584391545111727,13.709269506439615,0.3549807474258969,0,0,0.0,0.9999999999999899,0
50,5,0,50,50,1.0,97.58,99.0,46.98635928845385,13.61395515963006,13.705753177136357,0.22557883338525087,0,0,0.0,1.000000000000059,0
50,5,1,50,50,1.0,88.74,95.5,46.104499758257695,13.611140788230458,13.687343448879204,0.2295657695428921,0,0,0.0,1.003703131868844,1
50,5,2,50,50,1.0,75.86,80.5,42.123729315298895,13.583181281201584,13.697674457553433,0.3407911136303789,0,0,0.0,1.005122180514272,0
50,10,0,50,50,1.0,97.84,99.0,46.302184018661144,13.611481984341024,13.713437418404947,0.24140711565888612,0,0,0.0,1.0121301175679698,1
50,10,1,50,50,1.0,89.6,95.5,46.43230754198492,13.61609328045671,13.707521455889957,0.240358464545812,0,0,0.0,1.0132080622826014,2
50,10,2,50,50,1.0,75.94,80.5,42.1747627408252,13.533120397495185,13.727024452344082,0.7103172396442915,0,0,0.0,1.0061330256913243,0
100,0,0,100,100,1.0,93.17,95.0,48.01326731627247,13.394503199161667,13.563292011889228,0.734359166713238,0,0,0.0,0.999999999999941,0
100,0,1,100,100,1.0,90.06,85.5,48.479261420516586,13.566985988644392,13.645005228353842,0.23521530945225463,0,0,0.0,0.9999999999999104,0
100,0,2,100,100,1.0,79.5,80.0,45.829834577202405,13.486153614707243,13.640044679171298,0.6001079968782514,0,0,0.0,1.000000000000026,0
100,5,0,100,100,1.0,94.46,96.0,48.59966745531987,13.402697367536495,13.573839095647042,0.7339065511886104,0,0,0.0,1.0147953708467845,8
100,5,1,100,100,1.0,90.22,85.5,48.4393987734711,13.563248406221367,13.645005228337162,0.25477070883846953,0,0,0.0,1.003091770886315,1
100,5,2,100,100,1.0,79.5,80.0,45.73761354650342,13.502236521047879,13.654686012115148,0.5822748927938068,0,0,0.0,1.00153752496339,1
100,10,0,100,100,1.0,95.13,95.5,49.25703661981358,13.40831097150468,13.58137807122134,0.736346399411145,0,0,0.0,1.0212990510752662,11
100,10,1,100,100,1.0,90.69,87.0,48.33212015196352,13.575616605293819,13.657422389568765,0.2454235280799336,0,0,0.0,1.011543115489564,5
100,10,2,100,100,1.0,79.93,80.0,46.20491359589411,13.494750194390202,13.656519133138179,0.6001757659013666,0,0,0.0,1.0047314856917124,1
200,0,0,200,200,1.0,94.615,94.5,48.88779867509359,13.307948667849184,13.451623367827697,0.5976264773027108,0,0,0.0,0.9999999999999013,0
200,0,1,200,200,1.0,88.745,85.5,51.86133400544302,13.364745448460642,13.491329829570855,0.4486493589928255,0,0,0.0,1.0000000000002225,0
200,0,2,200,200,1.0,90.31,90.0,46.32552396740129,13.367248712215703,13.440438936924393,0.5013825690500805,0,0,0.0,0.9999999999997855,0
200,5,0,200,200,1.0,96.18,96.5,50.447520868810244,13.319896319264547,13.430937578963785,0.5877708544535574,0,0,0.0,1.0134920187298981,2
