num_vehicles,num_constructions,seed,n_arrived,n_total,arrival_rate,mean_travel_time,median_travel_time,stdev_travel_time,mean_avg_speed,median_avg_speed,stdev_avg_speed
50,10,0,50,50,1.0,97.84,99.0,46.302184018661144,13.611481984341024,13.713437418404947,0.24140711565888612
50,10,1,50,50,1.0,89.6,95.5,46.43230754198492,13.61609328045671,13.707521455889957,0.240358464545812
50,10,2,50,50,1.0,75.94,80.5,42.1747627408252,13.533120397495185,13.727024452344082,0.7103172396442915
50,20,0,50,50,1.0,98.64,99.5,46.70260229606579,13.630684009816864,13.701525406096561,0.21440760119161031
50,20,1,50,50,1.0,90.26,98.5,46.75415947882529,13.631126296760604,13.726014985973748,0.2129053181827704
50,20,2,50,50,1.0,79.0,82.5,45.41419359178182,13.582554447132884,13.709269506443338,0.3538231005056056
50,50,0,50,50,1.0,102.24,106.0,49.13976734472679,13.631746866130353,13.69357512996121,0.2009972896190978
50,50,1,50,50,1.0,93.72,101.5,49.17981998622556,13.64415818094536,13.703235653639124,0.20349847113428793
50,50,2,50,50,1.0,81.28,80.5,45.87340165708051,13.542993049567949,13.723148646110332,0.7089141103284466
50,100,0,50,50,1.0,105.52,107.5,50.495196781071996,13.62201117478355,13.708735036322869,0.2164497980966854
50,100,1,50,50,1.0,95.22,101.5,49.76610189636299,13.650373307412682,13.687343448859657,0.1917131227690794
50,100,2,50,50,1.0,80.62,80.5,45.09259860530985,13.597755901444044,13.698034190408386,0.33180848851812966
50,200,0,50,50,1.0,108.48,106.5,50.993492982248355,13.632264775322595,13.727548763725348,0.2278309398231678
50,200,1,50,50,1.0,96.84,103.5,49.293937202235725,13.638135375972823,13.693070141110521,0.23931228686744058
50,200,2,50,50,1.0,82.7,83.5,45.412508391051766,13.560022277714566,13.72846133133431,0.7074721049915291
50,500,0,50,50,1.0,107.8,111.5,50.72012038870667,13.608893220301333,13.713581887181867,0.23377583960319331
50,500,1,50,50,1.0,95.1,102.5,49.056506360793065,13.613405200412448,13.692164593757985,0.24849130615705414
50,500,2,50,50,1.0,83.34,86.0,47.70684715327688,13.594200906019628,13.71462435110341,0.33737683175530936
100,0,0,100,100,1.0,93.17,95.0,48.01326731627247,13.394503199161667,13.563292011889228,0.734359166713238
100,0,1,100,100,1.0,90.06,85.5,48.479261420516586,13.566985988644392,13.645005228353842,0.23521530945225463
100,0,2,100,100,1.0,79.5,80.0,45.829834577202405,13.486153614707243,13.640044679171298,0.6001079968782514
100,5,0,100,100,1.0,94.46,96.0,48.59966745531987,13.402697367536495,13.573839095647042,0.7339065511886104
100,5,1,100,100,1.0,90.22,85.5,48.4393987734711,13.563248406221367,13.645005228337162,0.25477070883846953
100,5,2,100,100,1.0,79.5,80.0,45.73761354650342,13.502236521047879,13.654686012115148,0.5822748927938068
100,10,0,100,100,1.0,95.13,95.5,49.25703661981358,13.40831097150468,13.58137807122134,0.736346399411145
100,10,1,100,100,1.0,90.69,87.0,48.33212015196352,13.575616605293819,13.657422389568765,0.2454235280799336
100,10,2,100,100,1.0,79.93,80.0,46.20491359589411,13.494750194390202,13.656519133138179,0.6001757659013666
100,20,0,100,100,1.0,96.63,98.0,49.63109464393825,13.410391644854519,13.588494294517002,0.7404463986162184
100,20,1,100,100,1.0,91.57,90.5,48.667549805187484,13.591578366663356,13.681534810301873,0.24377285021288392
100,20,2,100,100,1.0,80.43,81.0,46.16029493279726,13.504116029256531,13.64685668367942,0.5971132429072334
100,50,0,100,100,1.0,99.72,100.0,51.57912035470997,13.4206771850237,13.620603709340973,0.7640878415748981
100,50,1,100,100,1.0,93.74,95.0,48.68256693347551,13.623989571554988,13.68734344880715,0.19743565184547918
100,50,2,100,100,1.0,83.79,83.0,48.23789846671234,13.524667603451944,13.688370126633687,0.5993822278876174
100,100,0,100,100,1.0,99.15,100.5,50.96629407081833,13.424155666898356,13.603131721199684,0.7620628985285341
100,100,1,100,100,1.0,95.94,97.0,51.72437051381588,13.600915234188324,13.661172913659794,0.21673594067627563
100,100,2,100,100,1.0,86.23,86.0,50.63492925447868,13.51168686835469,13.662196249525287,0.599698908186631
100,200,0,100,100,1.0,101.94,104.5,52.942473067901304,13.449308924100434,13.612288746476054,0.7265606000756755
100,200,1,100,100,1.0,95.0,91.0,50.661881751729894,13.620940915677542,13.676608937264374,0.19573185030369464
100,200,2,100,100,1.0,86.88,84.0,51.91801617974635,13.515673806985072,13.692162815108912,0.606038931637964
100,500,0,100,100,1.0,98.64,98.0,51.339535241253195,13.427114136525129,13.585680312836361,0.7318870706947771
